id,name,anal,anal_ID,quar,quar_ID,cal,cal_ID,arag,arag_ID,dolo,dolo_ID,orth,orth_ID,anorth,anorth_ID,plagi,plagi_ID,mont,mont_ID,ill,ill_ID,py,py_ID,alb,alb_ID,mus,mus_ID,anothi,anothi_ID,iron,iron_ID,paly,paly_ID,chab,chab_ID,phil,phil_ID,harm,harm_ID,clin,clin_ID,erio,erio_ID,sani,sani_ID,hali,hali_ID,gyp,gyp_ID,andr,andr_ID,nont,nont_ID,any1,any1_ID,any2,any2_ID
67,2A-30Y-1-48-51,1,00-002-0417,0,NA,3,01-071-3699,0,NA,1,01-079-1345,1,01-086-0439,0,NA,0,NA,2,00-012-0204,1,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
68,2A-30Y-1-80-83,0,NA,0,NA,0,NA,0,NA,0,NA,3,NA,2,00-009-0478,0,NA,1,NA,0,NA,1,01-071-3840,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,Augite,0,NA
69,2A-30Y-1-107-110,1,NA,0,NA,0,NA,0,NA,0,NA,1,NA,2,NA,0,NA,1,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3,00-046-1427,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
70,2A-30Y-2-16-19,2,NA,0,NA,3,00-005-0586,0,NA,0,NA,0,NA,0,NA,0,NA,2,00-003-0015,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,Microcline,0,NA
71,2A-30Y-2-48-51,0,NA,0,NA,1,00-005-0586,0,NA,0,NA,2,01-086-0439,0,NA,0,NA,2,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,01-073-1419,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
72,2A-30Y-2-83-86,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,2,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,3,01-087-0684,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
73,2A-30Y-2-112-115,0,NA,0,NA,2,01-071-3699,0,NA,0,NA,2,NA,2,01-076-0803,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Augite,0,NA
74,2A-31Y-1-16-19,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,01-086-0439,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
75,2A-31Y-1-48-51,0,NA,0,NA,3,NA,0,NA,0,NA,2,NA,2,01-076-0803,0,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
76,2A-31Y-1-80-83,0,NA,0,NA,3,NA,0,NA,1,NA,2,NA,0,NA,0,NA,1,NA,1,00-015-0603,0,NA,2,01-083-1939,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
